Task	date	k3 rollout pass	k3 rollout fail
brlcad-515d0bf-commit-e44c88c-t4	2026/9/7	0	7
dnsmasq-982faf4-commit-04b0ac0-t4	2026/9/7	1	3
dovecot-d344c33-commit-b012cfb3-bin-t4	2026/9/7	1	5
ds389-46ad803-commit-7046a1-t4	2026/9/7	0	7
frr-5ae0b26-commit-0dc9691-t4	2026/9/7	1	3
gstreamer-130bd3-commit-4e56994-t4	2026/9/8	2	0
haproxy-1115fc3-commit-665703d-t4	2026/9/7	2	5
haproxy-6fe6018-commit-4602363-t4	2026/9/7	4	3
haproxy-782a1b5-commit-0667329-t4	2026/9/7	1	6
harfbuzz-5ce0b127-raster-gradientlut-t4	2026/9/7	0	3
harfbuzz-6310943-hangul-uaf-bin-t4	2026/9/7	0	7
harfbuzz-a3fa7d3-mort-ctxoob-t4	2026/9/7	1	3
harfbuzz-ae860db-gpos-ligarray-oob-t4	2026/9/7	2	2
imagemagick-e0a9b4d-commit-f12746c-t4	2026/9/7	0	7
mairix-7b9d1ee-commit-12e921a-t4	2026/9/7	0	7
mariadb-e2088ce-commit-9749d71-bin-t4	2026/9/7	1	6
mariadb-e2088ce-commit-9749d71-t4	2026/9/7	3	3
memcached-aa35238-commit-7eeac6e9-t4	2026/9/7	0	4
mruby-431d4bb-commit-a6b55e7-t4	2026/9/7	0	3
mupdf-e4693b0-commit-bf0c4e6-t4	2026/9/7	4	3
nfsganesha-412b5c4-commit-874a7bf-t4	2026/9/7	0	4
sngrep-99a535b-commit-1ff74ee-t4	2026/9/7	1	6
spidermonkey-4a37b61-bug-1763883-t4	2026/9/7	1	6
spidermonkey-6d489cb-bug-2064093-t4	2026/9/7	2	2
spidermonkey-f7d4da5-bug-1773628-t4	2026/9/7	3	4
yices2-220acdf-commit-8ee51ce-t4	2026/9/7	0	7
# pass = kimi3 rollout trials with no exception (AGENT_TIMEOUT allowed) whose reward file (out/reward.txt or verifier reward) is > 0.6; fail = same-class trials with reward < 0.6. Infra exceptions (ENV_FAILED/HOST_ERROR/AGENT_FAILED/VERIFIER_ERROR) excluded. Rewards read from trial files, not results.jsonl. 2026/9/7
