Task	date	k3 rollout pass	k3 rollout fail
allegro5-477bf8b-commit-3f2dbd4-t4	2026/9/7	2	2
aria2-442e460-commit-570bc24-t4	2026/9/7	0	4
bind9-891c50a-commit-921043b-t4	2026/9/7	3	3
clickhouse-2165cc1-issue-64543-t4	2026/9/7	3	3
clickhouse-a22b95a-issue-98523-t4	2026/9/7	3	2
clickhouse-ce552bd-issue-103630-t4	2026/9/7	2	2
clickhouse-e9a9df4-issue-78299-t4	2026/9/7	0	5
dnsdist-4becceb-commit-76a72b6-t4	2026/9/7	3	1
dnsmasq-5b99eae-commit-a90f09db-t4	2026/9/7	2	3
dnsmasq-982faf4-commit-04b0ac0-t4	2026/9/7	1	3
dovecot-d344c33-commit-b012cfb3-t4	2026/9/7	0	5
dropbear-d35cf53-commit-e40e93f-t4	2026/9/7	0	5
duckdb-097ce70-issue-7348-t4	2026/9/7	1	3
duckdb-8dabba981e-issue-21623-t4	2026/9/7	1	4
exiv2-3b9fcb4-issue-2178-t4	2026/9/7	3	2
exiv2-a14510a-issue-3443-t4	2026/9/7	3	3
f2fs-d87fc37-commit-b79c3ba-t4	2026/9/7	3	2
gecko-278da6f-bug-877523-t4	2026/9/7	3	1
gecko-31e2eff-commit-47c65d8-t4	2026/9/7	0	4
gnuplot-71bfce2-commit-08629c0-t4	2026/9/7	1	3
gstreamer-55efff3-commit-51deb71-bin-t4	2026/9/7	0	5
gstreamer-763d2bb-commit-b268b27-t4	2026/9/7	1	7
lighttpd-a2cc330-commit-df8e4f9-t4	2026/9/7	0	4
lighttpd-f2b33e7-commit-c42b280-t4	2026/9/7	1	4
mariadb-eb41c11-commit-7741065-t4	2026/9/7	1	4
mattermost-7201f42-commit-1346cf5-t4	2026/9/7	3	1
memcached-f352f0e-commit-838fda3-t4	2026/9/7	0	4
mnn-0614272-commit-1eaa7a6-t4	2026/9/7	1	4
nbd-ec9d483-commit-6b02564-t4	2026/9/7	0	5
net_snmp-f797268-commit-f3e807-t4	2026/9/7	4	1
nghttp2-2620992-commit-fc17c0a-t4	2026/9/7	1	4
nghttp2-577512f-commit-dd038bf-t4	2026/9/7	3	1
nghttp2-5de2c7a-commit-92a56d0-t4	2026/9/7	1	3
nghttp2-a152c63-commit-e66bd49-t4	2026/9/7	1	4
nginx-31620d1-commit-b19bc2e-t4	2026/9/7	1	3
nginx-61690b5-commit-66fde99-t4	2026/9/7	3	1
nginx-6446f99-commit-bcb41c9-t4	2026/9/7	3	1
ocserv-8aa1022-commit-7709744-t4	2026/9/7	2	2
rizin-d7e7bae-commit-b8213b0-t4	2026/9/7	2	2
rsyslog-492c929-commit-7900d93-t4	2026/9/7	3	1
rsyslog-5e019ed-commit-80be65d-t4	2026/9/7	3	1
sdl-312da26-commit-d9e1036-t4	2026/9/7	0	4
sdl-d04899f-commit-1c5c3b1-t4	2026/9/7	0	4
sdl-ea97ab6-commit-50f969c-t4	2026/9/7	0	4
spidermonkey-471019c-bug-2013573-t4	2026/9/7	1	3
spidermonkey-5644818-bug-1238935-t4	2026/9/7	1	3
spidermonkey-56bf35a-bug-1985765-t4	2026/9/7	0	4
spidermonkey-5ee29af-bug-746103-t4	2026/9/7	0	4
spidermonkey-685230b-bug-2013543-t4	2026/9/7	0	4
spidermonkey-81ef425-bug-2027357-t4	2026/9/7	3	2
spidermonkey-a76a888-bug-1744663-t4	2026/9/7	0	4
spidermonkey-c27183f-bug-1966549-t4	2026/9/7	0	4
squid-06a5d8-commit-06a5d871-t4	2026/9/7	3	2
squid-8617e9-commit-8617e90a-t4	2026/9/7	3	2
squid-8d77a37-commit-4bddcf0-t4	2026/9/7	0	4
tarantool-2dbe1dc-commit-58c7b79-t4	2026/9/7	3	1
tarantool-62ba7ba-commit-3bb5a4b-t4	2026/9/7	1	4
tarantool-797c04f-commit-d529082-t4	2026/9/7	1	3
tarantool-bc0daf9-commit-dd0ac81-t4	2026/9/7	3	1
tarantool-d8a352b-commit-51d0a9b-t4	2026/9/7	1	3
tcpdump-0dd0132-commit-80deba1-t4	2026/9/7	2	3
unbound-5eb362a-commit-a05d460-t4	2026/9/7	0	5
# pass = kimi3 rollout trials with no exception (AGENT_TIMEOUT allowed) whose reward file (out/reward.txt or verifier reward) is > 0.6; fail = same-class trials with reward < 0.6. Infra exceptions (ENV_FAILED/HOST_ERROR/AGENT_FAILED/VERIFIER_ERROR) excluded. Rewards read from trial files, not results.jsonl. 2026/9/7
